source,target,edge_type,weight
HPX,Q07954,detected_in,4.0
HPX,P01834,detected_in,2.0
Tf,P01834,detected_in,2.0
HPX,P01860,detected_in,2.0
Tf,P01860,detected_in,2.0
HPX,P01876,detected_in,2.0
Tf,P01876,detected_in,2.0
HPX,P01877,detected_in,2.0
Tf,P01877,detected_in,2.0
HPX,P02749,detected_in,2.0
Tf,P02749,detected_in,2.0
HPX,P02786,detected_in,2.0
Tf,P02786,detected_in,2.0
HPX,P03952,detected_in,2.0
Tf,P03952,detected_in,2.0
HPX,P06681,detected_in,2.0
Tf,P06681,detected_in,2.0
HPX,P0CF74,detected_in,2.0
Tf,P0CF74,detected_in,2.0
HPX,P0DOY2,detected_in,2.0
Tf,P0DOY2,detected_in,2.0
HPX,P0DOY3,detected_in,2.0
Tf,P0DOY3,detected_in,2.0
HPX,Q9UGM5,detected_in,2.0
Tf,Q9UGM5,detected_in,2.0
HPX,P02652,detected_in,2.0
Tf,P02652,detected_in,1.0
HPX,P05154,detected_in,2.0
Tf,P05154,detected_in,1.0
HPX,O75636,detected_in,2.0
HPX,O95479,detected_in,2.0
HPX,P00450,detected_in,2.0
HPX,P00738,detected_in,2.0
HPX,P00739,detected_in,2.0
HPX,P00748,detected_in,2.0
HPX,P01009,detected_in,2.0
HPX,P01023,detected_in,2.0
HPX,P02647,detected_in,2.0
HPX,P02654,detected_in,2.0
HPX,P02746,detected_in,2.0
HPX,P02747,detected_in,2.0
HPX,P03951,detected_in,2.0
HPX,P04114,detected_in,2.0
HPX,P04278,detected_in,2.0
HPX,P05090,detected_in,2.0
HPX,P05155,detected_in,2.0
HPX,P09172,detected_in,2.0
HPX,P33151,detected_in,2.0
HPX,P40189,detected_in,2.0
HPX,P42785,detected_in,2.0
HPX,P49908,detected_in,2.0
HPX,P51884,detected_in,2.0
HPX,P55058,detected_in,2.0
HPX,P80108,detected_in,2.0
HPX,Q16853,detected_in,2.0
HPX,Q96KG7,detected_in,2.0
HPX,Q9Y5C1,detected_in,2.0
HPX,A0M8Q6,detected_in,1.0
Tf,A0M8Q6,detected_in,2.0
HPX,P00747,detected_in,1.0
Tf,P00747,detected_in,2.0
HPX,P00751,detected_in,1.0
Tf,P00751,detected_in,2.0
HPX,A0AAG2UXZ5,detected_in,1.0
HPX,B9A064,detected_in,1.0
HPX,P00734,detected_in,1.0
HPX,P00915,detected_in,1.0
