source,target,edge_type,weight
HPX,Q07954,detected_in,4.0
HPX,O75636,detected_in,2.0
HPX,O95479,detected_in,2.0
HPX,P00450,detected_in,2.0
HPX,P00738,detected_in,2.0
HPX,P00739,detected_in,2.0
HPX,P00748,detected_in,2.0
HPX,P01009,detected_in,2.0
HPX,P01023,detected_in,2.0
HPX,P01834,detected_in,2.0
Tf,P01834,detected_in,2.0
HPX,P01860,detected_in,2.0
Tf,P01860,detected_in,2.0
HPX,P01876,detected_in,2.0
Tf,P01876,detected_in,2.0
HPX,P01877,detected_in,2.0
Tf,P01877,detected_in,2.0
HPX,P02647,detected_in,2.0
HPX,P02652,detected_in,2.0
Tf,P02652,detected_in,1.0
HPX,P02654,detected_in,2.0
HPX,P02746,detected_in,2.0
HPX,P02747,detected_in,2.0
HPX,P02786,detected_in,2.0
Tf,P02786,detected_in,2.0
HPX,P03951,detected_in,2.0
HPX,P04114,detected_in,2.0
HPX,P05090,detected_in,2.0
HPX,P06681,detected_in,2.0
Tf,P06681,detected_in,2.0
HPX,P0CF74,detected_in,2.0
Tf,P0CF74,detected_in,2.0
Q07954,receptor-mediated endocytosis,involved_in,1.0
Q07954,lipoprotein particle binding,involved_in,1.0
O75636,innate immune response,involved_in,1.0
O75636,lectin pathway of complement activation,involved_in,1.0
O95479,glucose metabolism,involved_in,1.0
P00450,iron homeostasis,involved_in,1.0
P00450,oxidation-reduction process,involved_in,1.0
P00738,heme/hemoglobin scavenging,involved_in,1.0
P00739,heme/hemoglobin scavenging,involved_in,1.0
P00748,coagulation,involved_in,1.0
P00748,proteolytic cascade,involved_in,1.0
P01009,protease inhibition,involved_in,1.0
P01023,protease inhibition,involved_in,1.0
P01023,extracellular protein binding,involved_in,1.0
P01834,immunoglobulin complex,involved_in,1.0
P01860,immunoglobulin complex,involved_in,1.0
P01876,immunoglobulin complex,involved_in,1.0
P01877,immunoglobulin complex,involved_in,1.0
P02647,lipoprotein metabolism,involved_in,1.0
P02652,lipoprotein metabolism,involved_in,1.0
P02654,lipoprotein metabolism,involved_in,1.0
P02746,complement activation,involved_in,1.0
P02747,complement activation,involved_in,1.0
P02786,iron uptake,involved_in,1.0
P02786,receptor-mediated endocytosis,involved_in,1.0
P03951,coagulation,involved_in,1.0
P04114,lipoprotein metabolism,involved_in,1.0
P05090,lipoprotein metabolism,involved_in,1.0
P06681,complement activation,involved_in,1.0
P0CF74,immunoglobulin complex,involved_in,1.0
