protein_accession_clean,gene_symbol,protein_name_final,HPX,Tf,control,present_in_HPX,present_in_Tf,present_in_control,candidate_HPX_specific,candidate_shared_HPX_Tf,candidate_HPX_over_background_score
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1,4.0,0.0,0.0,True,False,False,True,False,4.0
O75636,FCN3,Ficolin-3,2.0,0.0,0.0,True,False,False,True,False,2.0
O95479,H6PD,GDH/6PGL endoplasmic bifunctional protein,2.0,0.0,0.0,True,False,False,True,False,2.0
P00450,CP,Ceruloplasmin,2.0,0.0,0.0,True,False,False,True,False,2.0
P00738,HP,Haptoglobin,2.0,0.0,0.0,True,False,False,True,False,2.0
P00739,HPR,Haptoglobin-related protein,2.0,0.0,0.0,True,False,False,True,False,2.0
P00748,F12,Coagulation factor XII,2.0,0.0,0.0,True,False,False,True,False,2.0
P01009,SERPINA1,Alpha-1-antitrypsin,2.0,0.0,0.0,True,False,False,True,False,2.0
P01023,A2M,Alpha-2-macroglobulin,2.0,0.0,0.0,True,False,False,True,False,2.0
P01834,IGKC,Immunoglobulin kappa constant,2.0,2.0,0.0,True,True,False,True,True,2.0
P01860,IGHG3,Immunoglobulin heavy constant gamma 3,2.0,2.0,0.0,True,True,False,True,True,2.0
P01876,IGHA1,Immunoglobulin heavy constant alpha 1,2.0,2.0,0.0,True,True,False,True,True,2.0
P01877,IGHA2,Immunoglobulin heavy constant alpha 2,2.0,2.0,0.0,True,True,False,True,True,2.0
P02647,APOA1,Apolipoprotein A-I,2.0,0.0,0.0,True,False,False,True,False,2.0
P02652,APOA2,Apolipoprotein A-II,2.0,1.0,0.0,True,True,False,True,True,2.0
P02654,APOC1,Apolipoprotein C-I,2.0,0.0,0.0,True,False,False,True,False,2.0
P02746,C1QB,Complement C1q subcomponent subunit B,2.0,0.0,0.0,True,False,False,True,False,2.0
P02747,C1QC,Complement C1q subcomponent subunit C,2.0,0.0,0.0,True,False,False,True,False,2.0
P02749,APOH,Beta-2-glycoprotein 1,2.0,2.0,0.0,True,True,False,True,True,2.0
P02786,TFRC,Transferrin receptor protein 1,2.0,2.0,0.0,True,True,False,True,True,2.0
P03951,F11,Coagulation factor XI,2.0,0.0,0.0,True,False,False,True,False,2.0
P03952,KLKB1,Plasma kallikrein,2.0,2.0,0.0,True,True,False,True,True,2.0
