source_file,protein_accession,protein_accession_clean,uniprot_id,gene_symbol,protein_name_final,organism_name,annotation_source,n_psms,n_peptides,best_rank,any_pass_threshold,any_decoy,is_contaminant,protein_name,protein_name_uniprot
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P31327,P31327,CPSM_HUMAN,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Homo sapiens,uniprot_api,148,48,1,True,False,False,,"Carbamoyl-phosphate synthase [ammonia], mitochondrial"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P35579,P35579,MYH9_HUMAN,MYH9,Myosin-9,Homo sapiens,uniprot_api,67,46,1,True,False,False,,Myosin-9
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P04264,P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",Homo sapiens,uniprot_api,128,32,1,True,False,False,,"Keratin, type II cytoskeletal 1"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P04264,P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",Homo sapiens,uniprot_api,125,31,1,True,False,True,,"Keratin, type II cytoskeletal 1"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,Q13576,Q13576,IQGA2_HUMAN,IQGAP2,Ras GTPase-activating-like protein IQGAP2,Homo sapiens,uniprot_api,43,30,1,True,False,False,,Ras GTPase-activating-like protein IQGAP2
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P35908,P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",Homo sapiens,uniprot_api,90,29,1,True,False,True,,"Keratin, type II cytoskeletal 2 epidermal"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P35908v2,P35908v2,,,,,,90,29,1,True,False,True,,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P35908,P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",Homo sapiens,uniprot_api,90,29,1,True,False,False,,"Keratin, type II cytoskeletal 2 epidermal"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,O43795,O43795,MYO1B_HUMAN,MYO1B,Unconventional myosin-Ib,Homo sapiens,uniprot_api,43,27,1,True,False,False,,Unconventional myosin-Ib
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P04259,P04259,K2C6B_HUMAN,KRT6B,"Keratin, type II cytoskeletal 6B",Homo sapiens,uniprot_api,57,26,1,True,False,False,,"Keratin, type II cytoskeletal 6B"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P08779,P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",Homo sapiens,uniprot_api,51,24,1,True,False,True,,"Keratin, type I cytoskeletal 16"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P08779,P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",Homo sapiens,uniprot_api,51,24,1,True,False,False,,"Keratin, type I cytoskeletal 16"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P02538,P02538,K2C6A_HUMAN,KRT6A,"Keratin, type II cytoskeletal 6A",Homo sapiens,uniprot_api,47,24,1,True,False,True,,"Keratin, type II cytoskeletal 6A"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P48668,P48668,K2C6C_HUMAN,KRT6C,"Keratin, type II cytoskeletal 6C",Homo sapiens,uniprot_api,47,24,1,True,False,True,,"Keratin, type II cytoskeletal 6C"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P02538,P02538,K2C6A_HUMAN,KRT6A,"Keratin, type II cytoskeletal 6A",Homo sapiens,uniprot_api,47,24,1,True,False,False,,"Keratin, type II cytoskeletal 6A"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P48668,P48668,K2C6C_HUMAN,KRT6C,"Keratin, type II cytoskeletal 6C",Homo sapiens,uniprot_api,47,24,1,True,False,False,,"Keratin, type II cytoskeletal 6C"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P53621,P53621,COPA_HUMAN,COPA,Coatomer subunit alpha,Homo sapiens,uniprot_api,33,24,1,True,False,False,,Coatomer subunit alpha
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,Q9P2E9,Q9P2E9,RRBP1_HUMAN,RRBP1,Ribosome-binding protein 1,Homo sapiens,uniprot_api,30,24,1,True,False,False,,Ribosome-binding protein 1
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P13647,P13647,K2C5_HUMAN,KRT5,"Keratin, type II cytoskeletal 5",Homo sapiens,uniprot_api,45,23,1,True,False,True,,"Keratin, type II cytoskeletal 5"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P13647,P13647,K2C5_HUMAN,KRT5,"Keratin, type II cytoskeletal 5",Homo sapiens,uniprot_api,45,23,1,True,False,False,,"Keratin, type II cytoskeletal 5"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P55157,P55157,MTP_HUMAN,MTTP,Microsomal triglyceride transfer protein large subunit,Homo sapiens,uniprot_api,50,22,1,True,False,False,,Microsomal triglyceride transfer protein large subunit
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P13645,P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10",Homo sapiens,uniprot_api,76,21,1,True,False,True,,"Keratin, type I cytoskeletal 10"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P13645,P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10",Homo sapiens,uniprot_api,76,21,1,True,False,False,,"Keratin, type I cytoskeletal 10"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P02533,P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",Homo sapiens,uniprot_api,55,21,1,True,False,True,,"Keratin, type I cytoskeletal 14"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P02533,P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",Homo sapiens,uniprot_api,55,21,1,True,False,False,,"Keratin, type I cytoskeletal 14"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P33121,P33121,ACSL1_HUMAN,ACSL1,Long-chain-fatty-acid--CoA ligase 1,Homo sapiens,uniprot_api,34,21,1,True,False,False,,Long-chain-fatty-acid--CoA ligase 1
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P40939,P40939,ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",Homo sapiens,uniprot_api,66,20,1,True,False,False,,"Trifunctional enzyme subunit alpha, mitochondrial"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P35527,P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",Homo sapiens,uniprot_api,78,19,1,True,False,True,,"Keratin, type I cytoskeletal 9"
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P35527,P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",Homo sapiens,uniprot_api,78,19,1,True,False,False,,"Keratin, type I cytoskeletal 9"
