source_file,protein_accession,n_psms,n_peptides,best_rank,any_pass_threshold,any_decoy,protein_name
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P31327,148,48,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P35579,67,46,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P04264,128,32,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P04264,125,31,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,Q13576,43,30,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P35908,90,29,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P35908v2,90,29,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P35908,90,29,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,O43795,43,27,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P04259,57,26,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P08779,51,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P08779,51,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P02538,47,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P48668,47,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P02538,47,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P48668,47,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,P53621,33,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,Q9P2E9,30,24,1,True,False,
ExperimentMaxQuant_71fromSmithA_100924_7_1_uncoupled.mzid,CON__P13647,45,23,1,True,False,
