protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
A0A075B6P5,KV228_HUMAN,IGKV2-28,Immunoglobulin kappa variable 2-28,Homo sapiens,uniprot_api
A0A075B6S6,KVD30_HUMAN,IGKV2D-30,Immunoglobulin kappa variable 2D-30,Homo sapiens,uniprot_api
A0A075B767,PAL4H_HUMAN,PPIAL4H,Peptidyl-prolyl cis-trans isomerase A-like 4H,Homo sapiens,uniprot_api
A0A087WW87,KV240_HUMAN,IGKV2-40,Immunoglobulin kappa variable 2-40,Homo sapiens,uniprot_api
A0A0A0MRZ7,KVD26_HUMAN,IGKV2D-26,Immunoglobulin kappa variable 2D-26,Homo sapiens,uniprot_api
A0A0A0MS14,HV145_HUMAN,IGHV1-45,Immunoglobulin heavy variable 1-45,Homo sapiens,uniprot_api
A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,Homo sapiens,uniprot_api
A0A075B6S2,KVD29_HUMAN,IGKV2D-29,Immunoglobulin kappa variable 2D-29,Homo sapiens,uniprot_api
A0A0A0MS15,HV349_HUMAN,IGHV3-49,Immunoglobulin heavy variable 3-49,Homo sapiens,uniprot_api
A0A0B4J1V6,HV373_HUMAN,IGHV3-73,Immunoglobulin heavy variable 3-73,Homo sapiens,uniprot_api
A0A0C4DH42,HV366_HUMAN,IGHV3-66,Immunoglobulin heavy variable 3-66,Homo sapiens,uniprot_api
A0A075B6H7,KV37_HUMAN,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,Homo sapiens,uniprot_api
A0A0B4J1X5,HV374_HUMAN,IGHV3-74,Immunoglobulin heavy variable 3-74,Homo sapiens,uniprot_api
A0A0C4DH26,KVD41_HUMAN,IGKV6D-41,Probable non-functional immunoglobulin kappa variable 6D-41,Homo sapiens,uniprot_api
A0A075B6K5,LV39_HUMAN,IGLV3-9,Immunoglobulin lambda variable 3-9,Homo sapiens,uniprot_api
A0A0A0MT36,KVD21_HUMAN,IGKV6D-21,Immunoglobulin kappa variable 6D-21,Homo sapiens,uniprot_api
A0A0B4J2A2,PAL4C_HUMAN,PPIAL4C,Peptidyl-prolyl cis-trans isomerase A-like 4C,Homo sapiens,uniprot_api
A0A075B759,PAL4E_HUMAN,PPIAL4E,Peptidyl-prolyl cis-trans isomerase A-like 4E,Homo sapiens,uniprot_api
A0A087WYE8,A0A087WYE8_HUMAN,IGHV1OR21-1,Immunoglobulin heavy variable 1/OR21-1 (non-functional),Homo sapiens,uniprot_api
A0A0B4J2B5,A0A0B4J2B5_HUMAN,IGHV3OR16-9,Immunoglobulin heavy variable 3/OR16-9 (non-functional),Homo sapiens,uniprot_api
A0A075B7D0,A0A075B7D0_HUMAN,IGHV1OR15-1,Immunoglobulin heavy variable 1/OR15-1 (non-functional),Homo sapiens,uniprot_api
A0A075B7B8,A0A075B7B8_HUMAN,IGHV3OR16-12,Immunoglobulin heavy variable 3/OR16-12 (non-functional),Homo sapiens,uniprot_api
A0A075B7E8,A0A075B7E8_HUMAN,IGHV3OR16-13,Immunoglobulin heavy variable 3/OR16-13 (non-functional),Homo sapiens,uniprot_api
A0A0B4J2B8,A0A0B4J2B8_HUMAN,IGHV1OR15-9,Immunoglobulin heavy variable 1/OR15-9 (non-functional),Homo sapiens,uniprot_api
A0A0B4J2D5,GAL3B_HUMAN,,,,uniprot_api
A1L0T0,HACL2_HUMAN,HACL2,2-hydroxyacyl-CoA lyase 2,Homo sapiens,uniprot_api
A6NHL2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,Homo sapiens,uniprot_api
A6NNZ2,TBB8B_HUMAN,TUBB8B,Tubulin beta 8B,Homo sapiens,uniprot_api
A8CG34,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,Homo sapiens,uniprot_api
A5A3E0,POTEF_HUMAN,POTEF,POTE ankyrin domain family member F,Homo sapiens,uniprot_api
B0L3A2,DESPR_HUMAN,FBXW7-AS1,Dual endothelin-1/VEGF signal peptide receptor,Homo sapiens,uniprot_api
A6NMY6,AXA2L_HUMAN,ANXA2P2,Putative annexin A2-like protein,Homo sapiens,uniprot_api
A0A8I5KQE6,RPSA2_HUMAN,RPSA2,Small ribosomal subunit protein uS2B,Homo sapiens,uniprot_api
A0M8Q6,IGLC7_HUMAN,IGLC7,Immunoglobulin lambda constant 7,Homo sapiens,uniprot_api
A4D256,CC14C_HUMAN,CDC14C,Dual specificity protein phosphatase CDC14C,Homo sapiens,uniprot_api
